ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,想定収容人数,対象となる町会・自治会
CC0000000559,エレガンテなぎの浦（４F）,エレガンテナギノウラ（ヨンカイ）,eregantenaginora（yonkai）,172022,,石川県七尾市津向町ト１０７－４,石川県,七尾市,津向町ト,１０７ー４,,37.05647,136.95516,15.0,0767-53-8434,,,1.0,,1.0,,,,"屋内4,810人／屋外0人(面積の1/1)",西湊地区（13町会）
CC0000000560,七尾西湊合同庁舎（４F）,ナナオニシミナトゴウドウチョウシャ（ヨンカイ）,nanaonishiminatogodochosha（yonkai）,172022,,石川県七尾市小島町大開地３－７,石川県,七尾市,小島町大開地,３ー７,,37.05504,136.95493,10.0,0767-53-8429,,,1.0,,1.0,,,,屋内447人／屋外0人(面積の1/1),西湊地区（13町会）
CC0000000561,石崎小学校,イシザキショウガッコウ,ishizakishogakko,172022,,石川県七尾市石崎町子４０,石川県,七尾市,石崎町子,40,,37.07544,136.93081,2.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内100人／屋外4,560人(面積の1/2)",石崎地区（8町会）
CC0000000562,能登香島中学校,ノトカオシマチュウガッコウ,notokaoshimachugakko,172022,,石川県七尾市石崎町香島１－９６,石川県,七尾市,石崎町香島,１ー９６,,37.08026,136.92775,2.0,0767-52-0223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内815人／屋外5,600人(面積の1/2)",石崎地区（8町会）
CC0000000563,和倉温泉運動公園,ワクラオンセンウンドウコウエン（タモクテキグラウンド、ヨットハーバー）,"wakuraonsenundokoen
（tamokutekiguraundo、yottohaba）",172022,,石川県七尾市石崎町チ３２－１,石川県,七尾市,石崎町チ,３２ー１,,37.08578,136.92949,3.0,0767-52-3382,1.0,1.0,,1.0,,1.0,1.0,,"屋内88人／屋外22,520人(面積の1/2)",石崎地区（8町会）
CC0000000564,和倉地区コミュニティセンター,ワクラチクコミュニティセンター,wakurachikukomyuniteisenta,172022,,石川県七尾市和倉町ク１５－３,石川県,七尾市,和倉町ク,１５ー３,,37.08554,136.91724,11.0,0767-62-2072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内90人／屋外1570人(面積の1/2),和倉地区（8町会）
CC0000000565,和倉小学校,ワクラショウガッコウ,wakurashogakko,172022,,石川県七尾市和倉町ひばり３－９０,石川県,七尾市,和倉町ひばり,３ー９０,,37.08308,136.91803,17.0,0767-62-2837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内396人／屋外3,600人(面積の1/2)",和倉地区（8町会）
CC0000000566,和倉温泉お祭り会館,ワクラオンセンオマツリリカイカン,wakuraonsenomatsuririkaikan,172022,,石川県七尾市和倉町２－１３－１,石川県,七尾市,和倉町,２ー１３ー１,,37.0866,136.91867,3.2,0767-62-0999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内406人／屋外5,252人(面積の1/2)",和倉地区（8町会）
CC0000000567,わくわくプラザ,ワクワクプラザ,wakuwakupuraza,172022,,石川県七尾市和倉町ヨ１０９,石川県,七尾市,和倉町ヨ,109,,37.09074,136.91636,1.0,0767-62-2084,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外1,900人(面積の1/2)",和倉地区（8町会）
CC0000000568,和倉１号児童公園,ワクライチゴウジドウコウエン,wakuraichigojidokoen,172022,,石川県七尾市和倉町ひばり２－９０,石川県,七尾市,和倉町ひばり,２ー９０,,37.08409,136.92266,6.0,0767-62-2070,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外7,632人(面積の1/2)",和倉地区（8町会）
CC0000000569,和倉温泉湯っ足りパーク,ワクラオンセンユッアシリパーク,wakuraonsenyuaashiripaku,172022,,石川県七尾市和倉町ひばり１,石川県,七尾市,和倉町ひばり,1,,37.08756,136.92405,1.0,0767-62-4332,1.0,1.0,,1.0,,1.0,1.0,,"屋内0人／屋外7,380人(面積の1/2)",和倉地区（8町会）
CC0000000570,南大呑地区コミュニティセンター,ミナミオオノミチクコミュニティセンター,minamionomichikukomyuniteisenta,172022,,石川県七尾市黒崎町関上野３４２－８,石川県,七尾市,黒崎町関上野,３４２－８,,36.98315,137.04898,39.0,0767-53-8456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内110人／屋外0人(面積の1/2),南大呑地区（9町会）
CC0000000571,旧有磯小学校,キュウアリイソショウガッコウ（ウンドウジョウ）,kyu　ariisoshogakko（undojo）,172022,,石川県七尾市黒崎町ヲ１００－１,石川県,七尾市,黒崎町ヲ,１００－１,,36.98243,137.04877,39.0,0767-53-8429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外3,643人(面積の1/2)",南大呑地区（9町会）
CC0000000572,旧涛南中学校,キュウトウナンチュウガッコウ,kyu　tonanchugakko,172022,,石川県七尾市黒崎町サ２０－１,石川県,七尾市,黒崎町サ,２０ー１,,36.99467,137.0519,35.0,0767-62-0999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内429人／屋外3,500人(面積の1/2)",南大呑地区（9町会）
CC0000000573,北大呑地区コミュニティセンター,キタオオノチクコミュニティセンター,kitaonochikukomyuniteisenta,172022,,石川県七尾市庵町ウ２３－２,石川県,七尾市,庵町ウ,23ー２,,37.04074,137.04614,16.0,0767-59-1111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内332人／屋外0人(面積の1/2),北大呑地区（12町会）
CC0000000574,大呑放課後児童クラブ,オオノミホウカゴジドウクラブ,onomihokagojidokurabu,172022,,石川県七尾市庵町ヨ３１,石川県,七尾市,庵町ヨ,31,,37.02636,137.04856,8.0,0767-53-8434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内115人／屋外284人(面積の1/2),北大呑地区（12町会）
CC0000000575,崎山地区コミュニティセンター,サキヤマチクコミュニティセンター,sakiyamachikukomyuniteisenta,172022,,石川県七尾市鵜浦町下１３－２,石川県,七尾市,鵜浦町下,１３ー２,,37.09727,137.04635,2.0,0767-53-8434,,1.0,,1.0,,1.0,,,"屋内523人／屋外3,589人(面積の1/2)",崎山地区（4町会）
CC0000000576,旧北嶺中学校,キュウホクレイチュウガッコウ,kyu　hokureichugakko,172022,,石川県七尾市湯川町３－６８－２,石川県,七尾市,湯川町,３ー６８ー２,,37.08343,137.04228,33.0,0767-59-1124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内905人／屋外4,939人(面積の1/2)",崎山地区（4町会）
CC0000000577,高階地区コミュニティセンター,タカシナチクコミュニティセンター,takashinachikukomyuniteisenta,172022,,石川県七尾市町屋町ホ５５,石川県,七尾市,町屋町ホ,55,,37.03271,136.90198,8.0,0767-59-1114,1.0,1.0,,1.0,,1.0,1.0,,"屋内415人／屋外4,718人(面積の1/2)",高階地区（9町会）
CC0000000578,旧高階保育園,キュウタカシナホイクエン,kyu　takashinahoikuen,172022,,石川県七尾市池崎町い２３,石川県,七尾市,池崎町い,23,,37.03233,136.90759,9.0,0767-58-1111,,,,1.0,,1.0,,,屋内146人／屋外636人(面積の1/2),高階地区（9町会）
CC0000000579,田鶴浜地区コミュニティセンター,タツルハマチクコミュニティセンター,tatsuruhamachikukomyuniteisenta,172022,,石川県七尾市垣吉町へ２４,石川県,七尾市,垣吉町へ,24,,37.05963,136.89507,13.0,0767-58-1213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内483人／屋外2,350人(面積の1/2)",田鶴浜地区（20町会）
CC0000000580,田鶴浜小学校,タツルハマショウガッコウ,tatsuruhamashogakko,172022,,石川県七尾市田鶴浜町ホ３６５,石川県,七尾市,田鶴浜町ホ,365,,37.05954,136.89192,18.0,0767-57-3239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内239人／屋外14,084人(面積の1/2)",田鶴浜地区（20町会）
CC0000000581,田鶴浜高等学校,ケンリツタツルハマコウトウガッコウ,kenritsutatsuruhamakotogakko,172022,,石川県七尾市上野ヶ丘町５９,石川県,七尾市,上野ヶ丘町,59,,37.05948,136.88375,14.0,0767-53-8419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,065人／屋外2,210人（面積の1/2）",田鶴浜地区（20町会）
CC0000000582,田鶴浜勤労者体育センター,タツルハマキンロウシャタイイクセンター,tatsuruhamakinroshataiikusenta,172022,,石川県七尾市田鶴浜町二１１７,石川県,七尾市,田鶴浜町二,117,,37.06128,136.89358,15.0,0767-68-3336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内230人／屋外0人(面積の1/2),田鶴浜地区（20町会）
CC0000000583,田鶴浜体育館,タツルハマタイイクカン,tatsuruhamataiikukan,172022,,石川県七尾市田鶴浜町二１４４,石川県,七尾市,田鶴浜町二,144,,37.06028,136.89264,14.0,0767-68-3111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内720人／屋外0人(面積の1/2),田鶴浜地区（20町会）
CC0000000584,田鶴浜武道館,タツルハマブドウカン,tatsuruhamabudokan,172022,,石川県七尾市田鶴浜町二６３,石川県,七尾市,田鶴浜町二,63,,37.06122,136.89282,13.0,0767-68-3116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内250人／屋外0人(面積の1/2),田鶴浜地区（20町会）
CC0000000585,健康福祉プラザさつき苑,ケンコウフクシプラザサツキエン,kenkofukushipurazasatsukien,172022,,石川県七尾市田鶴浜町ハ３,石川県,七尾市,田鶴浜町ハ,3,,37.06238,136.88937,3.0,0767-68-3336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内110人／屋外0人(面積の1/2),田鶴浜地区（20町会）
CC0000000586,田鶴浜多目的グラウンド,タツルハマタモクテキグラウンド,tatsuruhamatamokutekiguraundo,172022,,石川県七尾市垣吉町ヘ２４,石川県,七尾市,垣吉町ヘ,24,,37.06086,136.89573,9.0,0767-68-3803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外4,370人(面積の1/2)",田鶴浜地区（20町会）
CC0000000587,田鶴浜地区コミュニティセンター相馬分館,タツルハマチクコミュニティセンターソウマブンカン,tatsuruhamachikukomyuniteisentasomabunkan,172022,,石川県七尾市伊久留町ム２,石川県,七尾市,伊久留町ム,2,,37.02957,136.88979,9.0,0767-68-3803,1.0,1.0,,1.0,,1.0,1.0,,"屋内316人／屋外2,100人(面積の1/2)",相馬地区（4町会）
CC0000000588,田鶴浜地区コミュニティセンター金ヶ崎分館（駐車場）,タツルハマチクコミュニティセンターカナガサキブンカン（チュウシャジョウ）,tatsuruhamachikukomyuniteisentakanagasakibunkan（chushajo）,172022,,石川県七尾市大津町ク３１,石川県,七尾市,大津町ク,31,,37.06805,136.85306,2.0,0767-68-3230,,,1.0,1.0,1.0,1.0,,,"屋内0人／屋外1,500人(面積の1/2)",金ヶ崎地区（7町会）
CC0000000589,ふれあい交流館,フレアイコウリュウカン キンガサキ,fureaikoryukan kingasaki,172022,,石川県七尾市大津町７－１１２,石川県,七尾市,大津町,7-112,,37.06972,136.84614,1.0,0767-68-3803,,1.0,1.0,1.0,1.0,1.0,,,屋内199人／屋外619人(面積の1/2),金ヶ崎地区（7町会）
CC0000000590,中島地区コミュニティセンター西岸分館,ナカジマチクコミュニティセンターニシギシブンカン,nakajimachikukomyuniteisentanishigishibunkan,172022,,石川県七尾市中島町小牧タ１８－１,石川県,七尾市,中島町小牧タ,18ー１,,37.14221,136.8724,9.0,0767-68-3525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内110人／屋外841人(面積の1/2),西岸地区（8町会）
CC0000000591,旧西岸小学校,キュウニシキシショウガッコウ,kyu　nishikishishogakko,172022,,石川県七尾市中島町外２－１,石川県,七尾市,中島町外,２ー１,,37.14878,136.87817,2.0,0767-68-3114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内366人／屋外3,350人(面積の1/2)",西岸地区（8町会）
CC0000000592,中島地区コミュニティセンター釶打分館,ナカジマチクコミュニティセンターナタウチブンカン,nakajimachikukomyuniteisentanatauchibunkan,172022,,石川県七尾市中島町西谷内ヘ９８,石川県,七尾市,中島町西谷内ヘ,98,,37.15046,136.81182,40.0,0767-68-3539,1.0,1.0,,1.0,,1.0,1.0,,屋内387人／屋外493人(面積の1/2),釶打地区（10町会）
CC0000000593,中島釶打農林漁家高齢者センター,ナカジマシウノウリンギョカコウレイシャセンター,nakajimashiunoringyokakoreishasenta,172022,,石川県七尾市中島町藤瀬３－１２２－１,石川県,七尾市,中島町藤瀬,３－１２２ー１,,37.14357,136.81777,24.0,0767-66-0170,1.0,1.0,,1.0,,1.0,1.0,,屋内80人／屋外0人(面積の1/2),釶打地区（10町会）
CC0000000594,中島体育館,ナカジマタイイクカン,nakajimataiikukan,172022,,石川県七尾市中島町中島甲６３－１,石川県,七尾市,中島町中島甲,６３ー１,,37.12275,136.85244,6.0,0767-53-8434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内833人／屋外0人(面積の1/2),中島地区（8町会）
CC0000000595,中島文化センター,ナカジマブンカセンター,nakajimabunkasenta,172022,,石川県七尾市中島町中島上９,石川県,七尾市,中島町中島上,9,,37.12168,136.85426,3.0,0767-66-0099,1.0,,1.0,1.0,1.0,1.0,1.0,,屋内651人／屋外0人(面積の1/2),中島地区（8町会）
CC0000000596,中島中学校（運動場）,ナカジマチュウガッコウ（ウンドウジョウ）,nakajimachugakko（undojo）,172022,,石川県七尾市中島町中島甲１４,石川県,七尾市,中島町中島甲,14,,37.12181,136.85196,4.0,0767-53-5010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外2,286人(面積の1/2)",中島地区（8町会）
CC0000000597,中島集いの広場,ナカジマツドイノヒロバ,nakajimatsudoinohiroba,172022,,石川県七尾市中島町中島甲８０,石川県,七尾市,中島町中島甲,80,,37.12246,136.85323,6.0,0767-66-1212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外1,350人(面積の1/2)",中島地区（8町会）
CC0000000598,中島小学校,ナカジマショウガッコウ,nakajimashogakko,172022,,石川県七尾市中島町上町チ２６－２,石川県,七尾市,中島町上町チ,２６ー２,,37.12141,136.84263,19.0,0767-66-2323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内360人／屋外8,232人(面積の1/2)",熊木地区（6町会）
CC0000000599,中島地区コミュニティセンター熊木分館,ナカジマチクコミュニティセンタークマキブンカン,nakajimachikukomyuniteisentakumakibunkan,172022,,石川県七尾市中島町上町ヲ１１３,石川県,七尾市,中島町上町ヲ,113,,37.12671,136.84352,6.0,0767-66-0029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内112人／屋外0人(面積の1/2),熊木地区（6町会）
CC0000000600,中島お祭り資料館・伝承館,ナカジマオマツリシリョウカン・デンショウカン,nakajimaomatsurishiryokan・denshokan,172022,,石川県七尾市中島町横田１－１４８,石川県,七尾市,中島町横田,１ー１４８,,37.12909,136.83242,8.0,0767-66-1212,,1.0,1.0,1.0,1.0,1.0,,,"屋内80人／屋外4,000人(面積の1/2)",熊木地区（6町会）
CC0000000601,宮前農村公園,ミヤマエノウソンコウエン,miyamaenosonkoen,172022,,石川県七尾市中島町宮前甲１０,石川県,七尾市,中島町宮前甲,10,,37.12892,136.83365,8.0,0767-66-0055,,1.0,1.0,1.0,1.0,1.0,,,"屋内0人／屋外3,356人(面積の1/2)",熊木地区（6町会）
CC0000000602,中島地区コミュニティセンター豊川分館,ナカジマチクコミュニティセンタートヨカワブンカン,nakajimachikukomyuniteisentatoyokawabunkan,172022,,石川県七尾市中島町豊田町ル１３－１,石川県,七尾市,中島町豊田町ル,１３ー１,,37.10085,136.83388,3.0,0767-66-1567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内378人／屋外4,500人(面積の1/2)",豊川地区（7町会）
CC0000000603,中島健康福祉センターすこやか,ナカジマケンコウフクシセンタースコヤカ,nakajimakenkofukushisentasukoyaka,172022,,石川県七尾市中島町河崎ヌ５０－１,石川県,七尾市,中島町河崎ヌ,５０ー１,,37.10728,136.84742,3.0,0767-66-2200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内201人／屋外2,002人(面積の1/2)",豊川地区（7町会）
CC0000000604,中島地区コミュニティセンター笠師保分館,ナカジマチクコミュニティセンターカサシホブンカン,nakajimachikukomyuniteisentakasashihobunkan,172022,,石川県七尾市中島町笠師ミ６３,石川県,七尾市,中島町笠師ミ,63,,37.09537,136.85771,3.0,0767-53-5010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内129人／屋外0人(面積の1/2),笠師保地区（6町会）
CC0000000605,旧笠師保小学校,キュウカサシホショウガッコウ,kyu　kasashihoshogakko,172022,,石川県七尾市中島町笠師ワ２２,石川県,七尾市,中島町笠師ワ,22,,37.09406,136.85726,2.0,0767-66-6799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内250人／屋外2,685人(面積の1/2)",笠師保地区（6町会）
CC0000000606,能登島地区コミュニティセンター,ノトジマチクコミュニティセンター,notojimachikukomyuniteisenta,172022,,石川県七尾市能登島向田町ろ８－１,石川県,七尾市,能登島向田町ろ,８ー１,,37.12621,136.99655,12.0,0767-66-0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内96人／屋外0人(面積の1/2),能登島地区（20町会）
CC0000000607,能登島生涯学習総合センター,ノトジマショウガイガクシュウソウゴウセンター,notojimashogaigakushusogosenta,172022,,石川県七尾市能登島向田町五級６３－１,石川県,七尾市,能登島向田町五級,６３ー１,,37.12197,136.99388,41.0,0767-66-1778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内1,047人／屋外5,000人(面積の1/2)",能登島地区（20町会）
CC0000000608,能登島武道館立野,ノトジマブドウカンタテノ,notojimabudokantateno,172022,,石川県七尾市能登島向田町五級６３－１,石川県,七尾市,能登島向田町五級,６３ー１,,37.12301,136.99413,46.0,0767-66-0150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内280人／屋外0人(面積の1/2),能登島地区（20町会）
CC0000000609,能登島小学校,ノトジマショウガッコウ,notojimashogakko,172022,,石川県七尾市能登島向田町ロ１５,石川県,七尾市,能登島向田町ロ,15,,37.12324,136.99683,26.0,0767-84-1110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内384人／屋外6,326人(面積の1/2)",能登島地区（20町会）
CC0000000610,たくみの里第１・第２駐車場,タクミノサトダイイチ・ダイニチュウシャジョウ,takuminosatodaiichi・dainichushajo,172022,,石川県七尾市能登島向田町１２２－６,石川県,七尾市,能登島向田町,１２２ー６,,37.13734,136.99789,28.0,0767-84-1115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外6,028人(面積の1/2)",能登島地区（20町会）
CC0000000611,旧西部小学校跡地,キュウセイブショウガッコウアトチ,kyu　seibushogakkoatochi,172022,,石川県七尾市能登島半浦町１５－１,石川県,七尾市,能登島半浦町,１５ー１,,37.12047,136.93532,5.0,0767-84-1115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,屋内0人／屋外277人(面積の1/2),能登島地区（20町会）
CC0000000612,能登島グラウンド,ノトジマグラウンド,notojimaguraundo,172022,,石川県七尾市能登島向田町馬付ケ谷内３１―１,石川県,七尾市,能登島向田町馬付ケ谷内,３１―１,,37.12241,136.99677,31.0,0767-84-1260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,"屋内0人／屋外11,174人(面積の1/2)",能登島地区（20町会）
NEW001,寄合い処みそぎ,,,,,石川県七尾市馬出町ツ部49,石川県,七尾市,馬出町ツ部,49,,37.04683152,136.9618191,,,,,,,,,,,,
